,AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,CEC Plant ID,Lng,Lat
1314,AS_SP15,GEN,SAUGUS_6_MWDFTH,SAUGUS_6_N009,24135_SAUGUS  _66.0_GUMW,22M7_DB114,2022-07-28T00:00:00,3952,H0188,-118.609237304,34.514732592
1315,AS_SP26,GEN,SAUGUS_6_MWDFTH,SAUGUS_6_N009,24135_SAUGUS  _66.0_GUMW,22M7_DB114,2022-07-28T00:00:00,3952,H0188,-118.609237304,34.514732592
1316,AS_SP26,GEN,SAUGUS_6_PTCHGN,PITCHGEN_7_B1,24118_PITCHGEN_13.8_GU1,22M7_DB114,2022-07-28T00:00:00,3953,G0157,-118.593544274,34.4637093630001
1317,AS_SP15,GEN,SAUGUS_6_PTCHGN,PITCHGEN_7_B1,24118_PITCHGEN_13.8_GU1,22M7_DB114,2022-07-28T00:00:00,3953,G0157,-118.593544274,34.4637093630001
1318,AS_SP26,GEN,SAUGUS_6_QF,SAUGUS_6_N008,24135_SAUGUS  _66.0_GUQF,22M7_DB114,2022-07-28T00:00:00,3954,H0533,-118.752409433,34.4595636060001
1319,AS_SP15,GEN,SAUGUS_6_QF,SAUGUS_6_N008,24135_SAUGUS  _66.0_GUQF,22M7_DB114,2022-07-28T00:00:00,3954,H0533,-118.752409433,34.4595636060001
1320,AS_SP15,GEN,SAUGUS_7_CHIQCN,SAUGUS_6_N012,24135_SAUGUS  _66.0_GUCC,22M7_DB114,2022-07-28T00:00:00,3955,E0250,-118.644358099,34.430293383
1321,AS_SP26,GEN,SAUGUS_7_CHIQCN,SAUGUS_6_N012,24135_SAUGUS  _66.0_GUCC,22M7_DB114,2022-07-28T00:00:00,3955,E0250,-118.644358099,34.430293383
1322,AS_SP15,GEN,SAUGUS_7_LOPEZ,SAUGUS_6_N010,24135_SAUGUS  _66.0_GULP,22M7_DB114,2022-07-28T00:00:00,3956,E0168,-118.389561162,34.2926083770001
1323,AS_SP26,GEN,SAUGUS_7_LOPEZ,SAUGUS_6_N010,24135_SAUGUS  _66.0_GULP,22M7_DB114,2022-07-28T00:00:00,3956,E0168,-118.389561162,34.2926083770001
1324,AS_SP15,GEN,SBERDO_2_QF,SANBRDNO_6_N005,24214_SANBRDNO_66.0_GUQF,22M7_DB114,2022-07-28T00:00:00,3963,G0317,-117.26269568,34.051275043
1325,AS_SP26,GEN,SBERDO_2_QF,SANBRDNO_6_N005,24214_SANBRDNO_66.0_GUQF,22M7_DB114,2022-07-28T00:00:00,3963,G0317,-117.26269568,34.051275043
1326,AS_SP15,GEN,SBERDO_2_REDLND,SANBRDNO_6_GN001,24214_SANBRDNO_66.0_GURL,22M7_DB114,2022-07-28T00:00:00,3964,S0195,-117.213436946,34.0800034430001
1327,AS_SP26,GEN,SBERDO_2_REDLND,SANBRDNO_6_GN001,24214_SANBRDNO_66.0_GURL,22M7_DB114,2022-07-28T00:00:00,3964,S0195,-117.213436946,34.0800034430001
1328,AS_SP26,GEN,SBERDO_2_RTS005,SANBRDNO_6_GN002,24214_SANBRDNO_66.0_GU5,22M7_DB114,2022-07-28T00:00:00,3965,S0158,-117.231104021,34.0863175920001
1329,AS_SP15,GEN,SBERDO_2_RTS005,SANBRDNO_6_GN002,24214_SANBRDNO_66.0_GU5,22M7_DB114,2022-07-28T00:00:00,3965,S0158,-117.231104021,34.0863175920001
1330,AS_SP26,GEN,SBERDO_2_RTS007,SANBRDNO_6_GN003,24214_SANBRDNO_66.0_GU7,22M7_DB114,2022-07-28T00:00:00,3966,S0185,-117.228082494,34.0863644410001
